base_score:482.0406815405366
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.0339]",57.35590995462907
"(0.0339, 0.152]",32.81078969988426
"(0.152, 0.464]",3.938739660924929
"(0.464, 0.983]",-23.187028125828927
"(0.983, 1.0]",-10.929769133600884
"(1.0, inf]",-44.48532803297501
age,Score
"(-inf, 36.0]",-4.437639841379529
"(36.0, 54.0]",-2.3089982369353645
"(54.0, 61.0]",2.0471731119254986
"(61.0, 74.0]",8.449988895398166
"(74.0, inf]",14.336680257291146
DebtRatio,Score
"(-inf, 0.0173]",34.684410675231156
"(0.0173, 0.4]",0.8554043813268806
"(0.4, 1.499]",-8.909590259395701
"(1.499, inf]",3.9975624560769205
MonthlyIncome,Score
"(-inf, 0.101]",20.63017437940472
"(0.101, 6166.382]",-3.2407027301207703
"(6166.382, inf]",4.055030547771032
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-6.405979530416362
"(1.0, 3.0]",-2.632278824232857
"(3.0, 5.0]",-0.5029702766664563
"(5.0, 17.0]",0.9867690369910306
"(17.0, inf]",3.656301095921147
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.808624878278809
"(0.0, 1.0]",-14.407657485341499
"(1.0, 2.0]",-22.337086002612484
"(2.0, inf]",-24.85478131918276
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.8788091186801075
"(0.0, 1.0]",-28.746640013360654
"(1.0, 2.0]",-37.747496763108245
"(2.0, inf]",-39.14409688194791
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.737091523106248
"(0.0, 1.0]",5.3374136691553336
"(1.0, 2.0]",16.936416284264872
"(2.0, 4.0]",10.904572040242273
"(4.0, inf]",-8.584506922696375
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",0.9695545347924813
"(0.0, 1.0]",-10.871876992165259
"(1.0, 2.0]",-13.732147124900898
"(2.0, inf]",-14.194647407205553
NumberOfDependents,Score
"(-inf, 0.0]",15.427378581605145
"(0.0, 1.0]",-12.166287848712422
"(1.0, 2.0]",-12.638768749965214
"(2.0, inf]",-11.19652263777199
